Elevation,LST,NDVI,Rain,VCI,label,idx,period,longitude,latitude
3,27.6792307692308,0.24828828871250153,8.978544235229492,0.4395613979825509,1,0,2021-06,126.40868099308877,34.88382827057132
837,19.890000000000043,0.9031700491905212,8.978346824645996,4.330241869476481,0,1,2021-06,127.75166234284745,35.818076166055626
381,24.256666666666717,0.25480595231056213,7.979446887969971,-6.281654885060302,2,2,2021-06,128.20531156132782,37.29131323201164
30,36.870000000000005,0.0004319654544815421,6.4263916015625,-0.706462258095333,2,3,2021-06,128.53319664003143,35.84053404815861
16,37.82000000000005,0.11907386779785156,5.187501907348633,0.8827308850407188,0,4,2021-06,130.45559134804722,33.54983007365383
41,28.630000000000052,0.5919489860534668,7.373922824859619,0.05364397648708582,2,5,2021-06,128.1963284084866,35.58900576860515
13,27.09250000000003,0.5350416898727417,4.506283283233643,0.46777047491664997,1,6,2021-06,128.8431154130527,37.82131924964216
76,29.00600000000003,0.5758207440376282,6.540937423706055,1.3406381460540786,0,7,2021-06,130.02889158809043,33.12313031369706
4,26.374285714285747,0.04055348411202431,4.032479286193848,0.026627854576587652,2,8,2021-06,128.97786270567062,37.7314877212302
33,26.162000000000035,0.5304579734802246,7.545983791351318,1.136324679525487,0,9,2021-06,127.22614790163753,36.44240528851869
149,26.398000000000025,0.5072540044784546,6.712722301483154,-0.4314266923397687,2,10,2021-06,128.35353358320754,36.662492533127974
373,26.310000000000002,0.27606967091560364,8.549242973327637,-7.890270381597035,2,11,2021-06,128.1963284084866,37.1790238214967
576,24.535000000000025,0.8637313842773438,12.080666542053223,14.682840082504063,0,12,2021-06,127.34292888857307,35.06349132739523
309,24.882000000000062,0.6160138845443726,6.797006130218506,1.7913651972552074,0,13,2021-06,128.14242949143946,37.61919831071526
310,25.97750000000002,0.8956019282341003,5.779169082641602,1.0050723559340171,0,14,2021-06,127.20818159595514,36.63105149818379
424,24.51909090909095,0.825775682926178,6.796569347381592,4.575917776827787,0,15,2021-06,128.11548003291585,37.7314877212302
45,31.897692307692353,0.521524965763092,4.414828300476074,28156.952017710402,0,16,2021-06,126.20206847774128,33.29830179410037
172,25.630000000000052,0.821018397808075,11.213549613952637,7.627028969796485,0,17,2021-06,128.37599146531053,35.41383428820184
309,23.53800000000001,0.04605263099074364,4.499476909637451,-22.452521297313513,2,18,2021-06,129.38210458352438,36.83317243711068
167,24.402000000000044,0.8247761130332947,6.679698467254639,0.7904715369235725,0,19,2021-06,125.45646679192208,38.221069551075345
427,24.362727272727284,0.7305594682693481,8.200150489807129,-4.0736636758005,2,20,2021-06,128.69938496759355,35.75070251974666
1,25.805000000000007,0.03887399286031723,6.865114688873291,-16.034768519533323,2,21,2021-06,126.76800710673658,36.03367183424431
394,24.035000000000025,0.5939474701881409,5.887861728668213,-4.561288108619634,2,22,2021-06,127.69327184937968,37.59674042861228
124,24.110000000000014,0.8259445428848267,6.647950649261475,0.5852551914718772,1,23,2021-06,125.55977304959582,37.99199915362487
90,25.54400000000004,0.18572723865509033,6.286439418792725,-0.07776155394713605,2,24,2021-06,126.75453237747479,36.154944397600445
233,30.161428571428644,0.1356307566165924,8.157279968261719,-2.025006120950186,2,25,2021-06,126.74554922463359,33.37915016967112
446,24.32272727272732,0.7360316514968872,7.971275329589844,-1.2791614391689312,2,26,2021-06,128.1963284084866,35.72824463764367
67,23.753750000000025,0.5128681063652039,5.733725070953369,1.251550225014073,0,27,2021-06,127.52259194539698,37.81233609680096
81,26.75857142857143,0.5516785383224487,6.304256916046143,2.335196439535172,0,28,2021-06,125.77087714136391,38.09081383487801
304,22.53875000000005,0.43865448236465454,4.908924579620361,-7.16491256298982,2,29,2021-06,128.0436148101863,37.96504969510128
125,27.170000000000016,0.8124542236328125,12.009886741638184,0.25528229120332563,2,30,2021-06,128.00319062240092,35.1128986680218
237,26.198571428571427,0.83160799741745,10.677111625671387,3.8309478309102336,0,31,2021-06,127.01055223344885,34.99162610466566
1111,19.595454545454572,0.5220748782157898,6.956831455230713,0.4550455259742834,1,32,2021-06,127.78759495421224,38.176153786869364
155,24.686923076923108,0.8605697154998779,4.699500560760498,-1.9429762904716446,2,33,2021-06,127.98971589313913,38.80946606217363
280,24.481111111111147,0.8787461519241333,6.479518890380859,1.0611904135717651,0,34,2021-06,125.29477004078056,38.4860725598906
19,26.531250000000057,0.7023280262947083,9.93617057800293,0.8896850366686273,0,35,2021-06,127.40581095846144,34.69069048448562
3,28.008000000000038,0.05689789727330208,6.981584548950195,-0.483272576568595,2,36,2021-06,126.32783261751801,35.234171231377935
6,27.53666666666669,0.17599999904632568,5.698519229888916,0.2560297686502013,2,37,2021-06,125.38010999277192,39.195741634345026
107,27.55181818181825,0.31812483072280884,7.5776214599609375,0.2272668004106766,2,38,2021-06,127.25758893658173,36.27621696095658
260,26.651538461538507,0.3514508008956909,7.5049638748168945,-0.15608888198178536,2,39,2021-06,129.29676463153302,35.80460143679383
65,27.647500000000036,0.8131855130195618,5.592191696166992,1.6966938238944345,0,40,2021-06,126.59732720275387,36.617576768922
372,24.710000000000036,0.7595677375793457,6.725419521331787,-0.2899482855548098,2,41,2021-06,126.67368400190404,38.813957638594225
4,27.376666666666722,0.08953553438186646,6.905726432800293,-1.5577078087802414,2,42,2021-06,126.68715873116582,35.74621094332606
169,27.49000000000001,0.49858543276786804,6.143611907958984,0.04713747354625232,2,43,2021-06,126.31435788825623,38.6747187695557
307,23.695454545454595,0.16802698373794556,6.644238471984863,-14.625198441025207,2,44,2021-06,129.05421950482076,36.50079578198646
412,22.62846153846158,0.6237356662750244,6.009974479675293,3.9010158119630263,0,45,2021-06,126.68266715474523,39.16879217582144
285,23.430000000000007,0.7796812057495117,5.4306182861328125,0.7539290065977384,0,46,2021-06,127.20818159595514,37.444026830311955
590,24.50111111111113,0.8318965435028076,8.259093284606934,0.8587517039761675,0,47,2021-06,127.6708139672767,35.97528134077654
105,26.610000000000014,0.7715467214584351,6.990413188934326,1.3629949401978247,0,48,2021-06,129.87168641336953,33.21745341852961
259,26.112857142857195,0.3653038740158081,5.258539199829102,1.222523942389478,0,49,2021-06,126.69165030758641,38.69268507523809
14,28.014444444444507,0.24499677121639252,5.02326774597168,1.5760994101961308,0,50,2021-06,125.26332900583638,38.71514295734108
145,27.150000000000034,0.5360748767852783,8.17461109161377,0.49972968253834876,1,51,2021-06,127.53606667465877,36.27172538453598
19,25.87307692307695,0.4940111041069031,4.619750499725342,0.7535409589289161,0,52,2021-06,126.45359675729475,36.87808820131666
180,28.55000000000001,0.5486435890197754,6.860282897949219,-1.0822451186497242,2,53,2021-06,128.5960787099198,36.801731402166496
1094,21.55800000000005,0.22671931982040405,6.210975170135498,-4.884255912233368,2,54,2021-06,128.87006487157626,37.05775125814056
563,22.760000000000048,0.8892115950584412,8.129416465759277,1.4591875291741738,0,55,2021-06,127.22165632521694,36.36604848936853
262,25.064285714285745,0.42943263053894043,6.975028038024902,-4.202997844301156,2,56,2021-06,127.83251071841822,37.45300998315315
430,25.883333333333326,0.7813646197319031,9.132946968078613,18.59854474152115,0,57,2021-06,127.91335909398897,35.57553103934335
37,23.57000000000005,0.4142072796821594,11.112433433532715,0.5251433609582752,1,58,2021-06,129.21591625596227,34.11576870264913
