Elevation,LST,NDVI,Rain,VCI,label,idx,period,longitude,latitude
3,22.841538461538505,0.19239842891693115,1.8739700317382812,0.3060233556619484,2,0,2022-04,126.40868099308877,34.88382827057132
837,17.95416666666671,0.46890825033187866,3.2406983375549316,0.28644242216309834,2,1,2022-04,127.75166234284745,35.818076166055626
381,19.31071428571431,0.393997460603714,1.4061006307601929,1.0028996935186563,0,2,2022-04,128.20531156132782,37.29131323201164
30,29.08793103448278,0.132523313164711,2.571220636367798,-0.31166327440788333,2,3,2022-04,128.53319664003143,35.84053404815861
16,29.53090909090912,0.14633809030056,4.2468461990356445,-0.22223869864430984,2,4,2022-04,130.45559134804722,33.54983007365383
41,22.80866666666668,0.47446662187576294,3.089658260345459,0.6598592879745088,0,5,2022-04,128.1963284084866,35.58900576860515
13,22.109259259259318,0.29978471994400024,1.1346529722213745,1.0833150260691062,0,6,2022-04,128.8431154130527,37.82131924964216
76,21.784736842105303,0.6054261326789856,5.202130317687988,1.1478306543745203,0,7,2022-04,130.02889158809043,33.12313031369706
4,21.03480000000002,0.06870228797197342,0.8977381587028503,0.025572176775159133,2,8,2022-04,128.97786270567062,37.7314877212302
33,21.802857142857192,0.24749241769313812,1.9430999755859375,0.13044939249541787,2,9,2022-04,127.22614790163753,36.44240528851869
149,22.00214285714287,0.34051668643951416,1.197679042816162,0.2661103951627232,2,10,2022-04,128.35353358320754,36.662492533127974
373,20.04733333333337,0.30163446068763733,1.6139020919799805,1.820805877406692,0,11,2022-04,128.1963284084866,37.1790238214967
576,19.939565217391362,0.7105672359466553,2.0319151878356934,0.4555147183983012,1,12,2022-04,127.34292888857307,35.06349132739523
309,20.34703703703707,0.25679758191108704,1.2984700202941895,0.6580490623169397,0,13,2022-04,128.14242949143946,37.61919831071526
310,20.66851851851851,0.42938822507858276,2.0730109214782715,0.21851393898706353,2,14,2022-04,127.20818159595514,36.63105149818379
424,18.178666666666686,0.5558139681816101,1.3449238538742065,1.161519751852079,0,15,2022-04,128.11548003291585,37.7314877212302
45,24.72739130434786,0.369660347700119,2.291835308074951,0.40002119896095845,1,16,2022-04,126.20206847774128,33.29830179410037
172,19.774444444444498,0.7896749377250671,3.5242903232574463,0.9222321115837696,0,17,2022-04,128.37599146531053,35.41383428820184
309,21.23727272727274,0.7521460652351379,1.3445019721984863,2.5103464061315957,0,18,2022-04,129.38210458352438,36.83317243711068
167,22.462000000000046,0.6980814337730408,0.7249016761779785,0.93658635473896,0,19,2022-04,125.45646679192208,38.221069551075345
427,18.905333333333374,0.5736203193664551,2.740520715713501,0.3326825338411084,2,20,2022-04,128.69938496759355,35.75070251974666
