Elevation,LST,NDVI,Rain,VCI,label,idx,period,longitude,latitude
3,17.58272727272731,0.1982658952474594,4.43101692199707,-0.16448915816910148,2,0,2024-10,126.40868099308877,34.88382827057132
837,13.680000000000007,0.6329165101051331,2.7976620197296143,0.41481866746875906,1,1,2024-10,127.75166234284745,35.818076166055626
381,14.515217391304361,0.566299319267273,2.5982093811035156,1.2741994791636035,0,2,2024-10,128.20531156132782,37.29131323201164
30,21.632857142857176,0.17107786238193512,3.4598541259765625,0.5580576551630569,1,3,2024-10,128.53319664003143,35.84053404815861
16,26.30666666666673,0.15595202147960663,5.587973117828369,0.6053906453461919,0,4,2024-10,130.45559134804722,33.54983007365383
41,17.835600000000056,0.6230523586273193,3.370579481124878,1.284885820044075,0,5,2024-10,128.1963284084866,35.58900576860515
13,18.344782608695652,0.34655606746673584,3.971736192703247,0.4149497862559523,1,6,2024-10,128.8431154130527,37.82131924964216
76,20.847500000000025,0.6277735829353333,5.429318904876709,1.8809422172550367,0,7,2024-10,130.02889158809043,33.12313031369706
4,17.88130434782613,0.09481807798147202,4.051185607910156,0.9633053787473213,0,8,2024-10,128.97786270567062,37.7314877212302
33,16.559166666666727,0.41315245628356934,3.204120397567749,0.562914129282672,1,9,2024-10,127.22614790163753,36.44240528851869
149,16.032857142857154,0.5704658627510071,1.903433918952942,2.185861918457918,0,10,2024-10,128.35353358320754,36.662492533127974
373,15.232500000000016,0.4054146707057953,2.8938162326812744,1.5450109423100404,0,11,2024-10,128.1963284084866,37.1790238214967
576,16.411739130434853,0.8191311359405518,4.607770919799805,0.5082947616256557,1,12,2024-10,127.34292888857307,35.06349132739523
309,15.939629629629678,0.37552741169929504,2.774209976196289,0.09945973605148992,2,13,2024-10,128.14242949143946,37.61919831071526
310,16.071000000000026,0.6680563688278198,2.97831654548645,0.3200273710127251,2,14,2024-10,127.20818159595514,36.63105149818379
424,14.631666666666717,0.7493495345115662,2.6572203636169434,1.0775245333095878,0,15,2024-10,128.11548003291585,37.7314877212302
45,20.933333333333337,0.4315815269947052,3.681048631668091,0.4206134792888414,1,16,2024-10,126.20206847774128,33.29830179410037
172,17.11260869565217,0.8366368412971497,4.4080810546875,0.868323449963207,0,17,2024-10,128.37599146531053,35.41383428820184
309,17.084736842105315,0.8792425990104675,2.836575508117676,1.4958960822306164,0,18,2024-10,129.38210458352438,36.83317243711068
167,17.056153846153848,0.8782302141189575,2.6333773136138916,1.121292509751994,0,19,2024-10,125.45646679192208,38.221069551075345
427,16.353333333333353,0.8090781569480896,3.777496814727783,1.0225929156432647,0,20,2024-10,128.69938496759355,35.75070251974666
1,18.182500000000005,0.48771122097969055,3.23451566696167,1.047125179021375,0,21,2024-10,126.76800710673658,36.03367183424431
394,13.90300000000002,0.6898906826972961,2.5014102458953857,0.6124065626248977,0,22,2024-10,127.69327184937968,37.59674042861228
124,17.839230769230824,0.7552574872970581,2.3116772174835205,1.0206888095182682,0,23,2024-10,125.55977304959582,37.99199915362487
90,17.24333333333334,0.43227478861808777,2.863574504852295,0.2743441158707606,2,24,2024-10,126.75453237747479,36.154944397600445
233,17.7827272727273,0.663279116153717,7.218837261199951,1.0828662622259606,0,25,2024-10,126.74554922463359,33.37915016967112
446,16.011666666666713,0.8148379325866699,3.6940698623657227,1.1790683422242976,0,26,2024-10,128.1963284084866,35.72824463764367
67,15.047000000000025,0.494709849357605,2.0666890144348145,0.7980414002980236,0,27,2024-10,127.52259194539698,37.81233609680096
81,17.553200000000004,0.5001683831214905,2.5351858139038086,1.1097160128709194,0,28,2024-10,125.77087714136391,38.09081383487801
304,13.534000000000049,0.671385645866394,2.0010182857513428,0.9624181289649677,0,29,2024-10,128.0436148101863,37.96504969510128
125,19.276315789473756,0.8527536392211914,6.623973846435547,0.9934991437878776,0,30,2024-10,128.00319062240092,35.1128986680218
237,17.619523809523855,0.6761935949325562,5.0003581047058105,0.4611997556875429,1,31,2024-10,127.01055223344885,34.99162610466566
1111,13.244782608695687,0.29484617710113525,2.0228896141052246,0.568743556434777,1,32,2024-10,127.78759495421224,38.176153786869364
155,16.357619047619096,0.5964677333831787,2.6103127002716064,0.6849375298207024,0,33,2024-10,127.98971589313913,38.80946606217363
280,15.25818181818181,0.7864559888839722,1.6382814645767212,0.6604537433607811,0,34,2024-10,125.29477004078056,38.4860725598906
19,18.322173913043514,0.6380468606948853,4.643311023712158,0.7778217768802761,0,35,2024-10,127.40581095846144,34.69069048448562
3,18.50809523809528,0.15117670595645905,3.7862114906311035,0.5030669170612949,1,36,2024-10,126.32783261751801,35.234171231377935
6,16.230769230769226,0.22852292656898499,1.6939291954040527,0.6928155899112064,0,37,2024-10,125.38010999277192,39.195741634345026
107,17.122173913043525,0.33474352955818176,3.219599485397339,0.30474923710686513,2,38,2024-10,127.25758893658173,36.27621696095658
260,17.968666666666707,0.4261341691017151,3.7362093925476074,-3.478138108418736,2,39,2024-10,129.29676463153302,35.80460143679383
65,17.800434782608704,0.750328540802002,3.661059856414795,1.0034527231369883,0,40,2024-10,126.59732720275387,36.617576768922
372,15.33480000000003,0.7706349492073059,2.3235604763031006,1.2996535614636318,0,41,2024-10,126.67368400190404,38.813957638594225
4,18.05521739130438,0.4204346835613251,3.0340442657470703,1.3728784309169004,0,42,2024-10,126.68715873116582,35.74621094332606
169,15.473000000000013,0.4339957535266876,1.5768476724624634,0.6306912586290272,0,43,2024-10,126.31435788825623,38.6747187695557
307,15.384444444444455,0.787898063659668,3.0734851360321045,1.337568154878621,0,44,2024-10,129.05421950482076,36.50079578198646
412,14.142000000000053,0.475599080324173,1.867523431777954,0.6714699854694295,0,45,2024-10,126.68266715474523,39.16879217582144
285,16.055600000000027,0.7037953734397888,3.4286787509918213,0.7888013889499552,0,46,2024-10,127.20818159595514,37.444026830311955
590,14.883043478260902,0.7417193651199341,2.998739242553711,1.0490584479912153,0,47,2024-10,127.6708139672767,35.97528134077654
105,20.383333333333326,0.7969169616699219,6.933820724487305,0.9802685513837447,0,48,2024-10,129.87168641336953,33.21745341852961
259,15.800769230769276,0.32019704580307007,2.3556697368621826,0.9583912311285036,0,49,2024-10,126.69165030758641,38.69268507523809
14,17.26666666666671,0.3416493535041809,1.4458985328674316,0.933467403549095,0,50,2024-10,125.26332900583638,38.71514295734108
145,17.01818181818186,0.3795246183872223,3.096026659011841,0.3372857486719518,2,51,2024-10,127.53606667465877,36.27172538453598
