Elevation,LST,NDVI,Rain,VCI,label,idx,period,longitude,latitude
3,26.950000000000045,0.09818930923938751,9.575531005859375,-16.752234413061988,2,0,2021-08,126.40868099308877,34.88382827057132
837,23.02428571428578,0.2826715111732483,15.159601211547852,-14.456666930439159,2,1,2021-08,127.75166234284745,35.818076166055626
381,23.78666666666669,0.7062696814537048,6.67429256439209,1.2198828760489613,0,2,2021-08,128.20531156132782,37.29131323201164
30,36.09666666666669,0.12137911468744278,9.844745635986328,-13.707331926386658,2,3,2021-08,128.53319664003143,35.84053404815861
16,38.946000000000026,0.05485095828771591,21.823612213134766,-10.855032253781314,2,4,2021-08,130.45559134804722,33.54983007365383
41,27.28333333333336,0.5876896977424622,11.508393287658691,0.42810264746251425,1,5,2021-08,128.1963284084866,35.58900576860515
13,26.126000000000033,0.694037139415741,7.70363712310791,-0.7961461245068108,2,6,2021-08,128.8431154130527,37.82131924964216
76,29.430000000000007,0.42981019616127014,24.666797637939453,-9.4014689051275,2,7,2021-08,130.02889158809043,33.12313031369706
4,27.26555555555558,0.05742982402443886,8.277422904968262,-0.021953900700251595,2,8,2021-08,128.97786270567062,37.7314877212302
33,27.32800000000003,0.5558307766914368,10.220291137695312,0.9080022072073567,0,9,2021-08,127.22614790163753,36.44240528851869
149,26.746000000000038,0.7474099397659302,9.481954574584961,0.8711865541773655,0,10,2021-08,128.35353358320754,36.662492533127974
373,26.458888888888907,0.4242181181907654,7.130103588104248,1.7926671263509393,0,11,2021-08,128.1963284084866,37.1790238214967
576,26.006666666666717,0.5313776731491089,14.70106315612793,-14.196615997762434,2,12,2021-08,127.34292888857307,35.06349132739523
309,25.883333333333326,0.6048749089241028,7.1889753341674805,-2.893714527620743,2,13,2021-08,128.14242949143946,37.61919831071526
310,26.174000000000035,0.1339738816022873,8.507901191711426,-0.1558466971672689,2,14,2021-08,127.20818159595514,36.63105149818379
424,22.396666666666704,0.28418877720832825,5.773786544799805,-3.445830347646488,2,15,2021-08,128.11548003291585,37.7314877212302
45,32.3257142857143,0.25262686610221863,10.692119598388672,0.09660865076038558,2,16,2021-08,126.20206847774128,33.29830179410037
172,27.827500000000043,0.8582741618156433,11.986738204956055,1.2487270473710086,0,17,2021-08,128.37599146531053,35.41383428820184
309,26.000000000000057,0.3748655319213867,14.417098999023438,-475119.4777990029,2,18,2021-08,129.38210458352438,36.83317243711068
167,24.70777777777778,0.05537302792072296,8.820121765136719,-1.1703073484869368,2,19,2021-08,125.45646679192208,38.221069551075345
427,25.364285714285757,0.6443386673927307,11.767769813537598,0.691598197627308,0,20,2021-08,128.69938496759355,35.75070251974666
1,26.443333333333328,0.26332536339759827,12.11390209197998,-0.048069684727728594,2,21,2021-08,126.76800710673658,36.03367183424431
394,23.998000000000047,0.6059850454330444,4.800134658813477,-5.067372030462825,2,22,2021-08,127.69327184937968,37.59674042861228
124,25.444117647058818,0.6492738127708435,5.627242088317871,0.3314982329522737,2,23,2021-08,125.55977304959582,37.99199915362487
90,27.50066666666669,0.7621259093284607,12.109879493713379,1.2153117857018405,0,24,2021-08,126.75453237747479,36.154944397600445
233,27.547500000000014,0.6376346945762634,13.62552261352539,-62.07040811256449,2,25,2021-08,126.74554922463359,33.37915016967112
446,26.596666666666692,0.7621942758560181,11.54846477508545,1.4334723470745718,0,26,2021-08,128.1963284084866,35.72824463764367
67,28.130000000000052,0.6144300103187561,4.520157814025879,15.287543389632706,0,27,2021-08,127.52259194539698,37.81233609680096
81,27.046250000000043,0.034418169409036636,7.2006964683532715,-0.3139510320938789,2,28,2021-08,125.77087714136391,38.09081383487801
304,22.780769230769238,0.7438347339630127,5.533262252807617,0.8386551701262613,0,29,2021-08,128.0436148101863,37.96504969510128
125,28.54000000000002,0.8217331767082214,12.160961151123047,0.9090020705116213,0,30,2021-08,128.00319062240092,35.1128986680218
237,26.20833333333337,0.4682779312133789,13.980138778686523,-7.5665386712522436,2,31,2021-08,127.01055223344885,34.99162610466566
1111,20.511818181818228,0.843158483505249,4.942180633544922,4.067154531318691,0,32,2021-08,127.78759495421224,38.176153786869364
155,25.494000000000028,0.6410151720046997,7.1125311851501465,-7.66631703425278,2,33,2021-08,127.98971589313913,38.80946606217363
280,24.627647058823584,0.8528838157653809,8.548891067504883,11.99360619189433,0,34,2021-08,125.29477004078056,38.4860725598906
19,27.485384615384646,0.7267132997512817,11.24898624420166,-1.2803483558858864,2,35,2021-08,127.40581095846144,34.69069048448562
3,28.708000000000027,0.31615039706230164,11.474721908569336,0.5420642578948147,1,36,2021-08,126.32783261751801,35.234171231377935
6,26.258000000000038,0.7696549296379089,9.06942081451416,0.8180347993485615,0,37,2021-08,125.38010999277192,39.195741634345026
