Elevation,LST,NDVI,Rain,VCI,label,idx,period,longitude,latitude
3,27.80279999999999,0.7639601826667786,6.068477630615234,0.9575839275184168,0,0,2023-08,126.40868099308877,34.88382827057132
837,23.522000000000048,0.8827838897705078,9.82712459564209,0.9388456130787001,0,1,2023-08,127.75166234284745,35.818076166055626
381,24.98764705882354,0.6639004349708557,5.653637886047363,0.8131324088784412,0,2,2023-08,128.20531156132782,37.29131323201164
30,34.78466666666668,0.0887463241815567,6.821380138397217,0.17596929091466898,2,3,2023-08,128.53319664003143,35.84053404815861
16,38.104285714285766,0.1237560585141182,7.097952842712402,0.5984649989100957,1,4,2023-08,130.45559134804722,33.54983007365383
41,28.396000000000015,0.6411033868789673,7.257309913635254,0.893709263576559,0,5,2023-08,128.1963284084866,35.58900576860515
13,27.611666666666736,0.6661669015884399,6.253787994384766,-0.32160860473644515,2,6,2023-08,128.8431154130527,37.82131924964216
76,28.074705882352987,0.6969525814056396,6.697055816650391,0.9572055753252795,0,7,2023-08,130.02889158809043,33.12313031369706
4,27.602000000000032,0.013463414274156094,5.8841753005981445,-0.18803287399966906,2,8,2023-08,128.97786270567062,37.7314877212302
33,26.78090909090912,0.4579985439777374,4.418618679046631,0.706793971329121,0,9,2023-08,127.22614790163753,36.44240528851869
149,26.8006666666667,0.7414095997810364,5.231846809387207,0.5144414340935081,1,10,2023-08,128.35353358320754,36.662492533127974
373,25.314615384615422,0.4504181742668152,5.544950485229492,1.1241333254592278,0,11,2023-08,128.1963284084866,37.1790238214967
576,25.854000000000042,0.22364771366119385,8.788922309875488,-0.8977757089459467,2,12,2023-08,127.34292888857307,35.06349132739523
309,26.487333333333368,0.5597131252288818,6.192605495452881,-1.4139370527609818,2,13,2023-08,128.14242949143946,37.61919831071526
310,27.150000000000034,0.8601532578468323,5.469616889953613,0.9532383771049103,0,14,2023-08,127.20818159595514,36.63105149818379
424,25.24176470588236,0.8573380708694458,4.716141223907471,1.2542401568831734,0,15,2023-08,128.11548003291585,37.7314877212302
45,32.05421052631584,0.2930850386619568,4.613803863525391,1.921413256309255,0,16,2023-08,126.20206847774128,33.29830179410037
172,26.190000000000055,0.2977074980735779,8.907557487487793,-0.3180808952972021,2,17,2023-08,128.37599146531053,35.41383428820184
309,25.194000000000017,0.8064035773277283,6.746898651123047,0.867761243995332,0,18,2023-08,129.38210458352438,36.83317243711068
167,26.85714285714289,0.8695500493049622,7.756464958190918,1.0171995815732877,0,19,2023-08,125.45646679192208,38.221069551075345
427,24.953636363636406,0.3548150956630707,7.321105480194092,0.3459127137692417,2,20,2023-08,128.69938496759355,35.75070251974666
1,27.181764705882358,0.36945244669914246,5.593089580535889,0.2443794270281362,2,21,2023-08,126.76800710673658,36.03367183424431
394,24.28400000000005,0.1969386339187622,5.825855731964111,-0.16747930665741897,2,22,2023-08,127.69327184937968,37.59674042861228
124,25.752500000000055,0.8027835488319397,8.580316543579102,0.810062064497949,0,23,2023-08,125.55977304959582,37.99199915362487
90,27.24444444444447,0.7548044919967651,5.938908576965332,0.9480164296176946,0,24,2023-08,126.75453237747479,36.154944397600445
233,27.262500000000045,0.140395849943161,5.921574115753174,-1.0281171636612338,2,25,2023-08,126.74554922463359,33.37915016967112
446,24.964666666666687,0.8073499798774719,8.60936450958252,0.9732979805719656,0,26,2023-08,128.1963284084866,35.72824463764367
67,27.715714285714284,0.6525217890739441,5.566376686096191,0.7025508839652597,0,27,2023-08,127.52259194539698,37.81233609680096
81,28.04000000000002,0.6920044422149658,8.346576690673828,0.9357877681891084,0,28,2023-08,125.77087714136391,38.09081383487801
304,24.15631578947375,0.8385144472122192,4.806524276733398,1.1310475449148079,0,29,2023-08,128.0436148101863,37.96504969510128
125,27.504285714285743,0.8586995005607605,8.115240097045898,1.0315729252506007,0,30,2023-08,128.00319062240092,35.1128986680218
237,27.494000000000028,0.702034056186676,8.332561492919922,0.5979891985251372,1,31,2023-08,127.01055223344885,34.99162610466566
1111,22.950000000000045,0.7272248268127441,5.979633808135986,0.8514533410213864,0,32,2023-08,127.78759495421224,38.176153786869364
155,25.844545454545482,0.5514741539955139,6.565733909606934,-0.3965246993505145,2,33,2023-08,127.98971589313913,38.80946606217363
280,24.94166666666672,0.8687782883644104,8.586833953857422,0.9681103111109974,0,34,2023-08,125.29477004078056,38.4860725598906
19,27.213636363636397,0.792153000831604,6.686820030212402,0.995161722592639,0,35,2023-08,127.40581095846144,34.69069048448562
