Elevation,LST,NDVI,Rain,VCI,label,idx,period,longitude,latitude
381,18.659166666666692,0.6425505876541138,5.482832908630371,-66576.78407807066,2,0,2018-09,128.20531156132782,37.29131323201164
13,22.879285714285743,0.37573137879371643,6.125012397766113,-269093.4368109042,2,1,2018-09,128.8431154130527,37.82131924964216
4,22.49640000000005,0.1234217956662178,7.169145107269287,-409484.7337820579,2,2,2018-09,128.97786270567062,37.7314877212302
373,20.04333333333335,0.3910429775714874,5.577297687530518,-4367.734868497064,2,3,2018-09,128.1963284084866,37.1790238214967
125,22.822941176470636,0.8659394979476929,11.527730941772461,7479.052909405426,0,4,2018-09,128.00319062240092,35.1128986680218
155,20.644000000000062,0.8688871264457703,3.8284542560577393,25505.84095166597,0,5,2018-09,127.98971589313913,38.80946606217363
280,21.35583333333335,0.8844022154808044,1.1090302467346191,1131.2976208170955,0,6,2018-09,125.29477004078056,38.4860725598906
6,22.760000000000048,0.5938596725463867,1.501370906829834,54430.222929569674,0,7,2018-09,125.38010999277192,39.195741634345026
372,21.902000000000044,0.7945722937583923,2.5806002616882324,-23970.526176316343,2,8,2018-09,126.67368400190404,38.813957638594225
169,22.5334482758621,0.631179690361023,2.2398135662078857,19261.073589075473,0,9,2018-09,126.31435788825623,38.6747187695557
412,20.10703703703706,0.586107075214386,2.680222272872925,-54816.82612133443,2,10,2018-09,126.68266715474523,39.16879217582144
259,22.449166666666713,0.6492184400558472,1.9431254863739014,26077.899985174627,0,11,2018-09,126.69165030758641,38.69268507523809
14,24.28176470588238,0.49238303303718567,1.5141088962554932,-92215.03939540393,2,12,2018-09,125.26332900583638,38.71514295734108
1094,14.934000000000026,0.7063568830490112,6.621140480041504,-212165.64743547296,2,13,2018-09,128.87006487157626,37.05775125814056
430,19.45105263157899,0.8291694521903992,8.252809524536133,2215.4729322836356,0,14,2018-09,127.91335909398897,35.57553103934335
344,20.587500000000034,0.863865077495575,5.273755073547363,-17518.78743836355,2,15,2018-09,128.17836210280424,37.111650175187734
387,21.488888888888937,0.4219493567943573,3.0978660583496094,-205547.90814290664,2,16,2018-09,127.05546799765483,39.375404691168924
542,18.50520000000006,0.8774594664573669,2.454293727874756,-17863.478091078247,2,17,2018-09,126.44461360445355,39.2451489749716
285,21.54454545454547,0.5151607990264893,2.702897310256958,-38967.075665548466,2,18,2018-09,126.350290499621,39.029553306782915
914,16.54333333333335,0.7161403298377991,8.519444465637207,-168317.11810931828,2,19,2018-09,129.0048121641942,37.39461948968538
44,22.560000000000002,0.5928677320480347,3.8259670734405518,-103082.21536086538,2,20,2018-09,127.8729349062036,38.89031443774439
80,25.06636363636369,0.2611331343650818,2.238030433654785,23370.888710411098,0,21,2018-09,125.37112683993072,37.95606654226008
119,21.297500000000014,0.5201514959335327,3.9209585189819336,-141488.21623092546,2,22,2018-09,127.25758893658173,39.27659000991578
416,18.92565217391308,0.8255683779716492,4.909309387207031,-48017.24779485905,2,23,2018-09,128.259210478375,37.70902983912722
233,23.20172413793108,0.6050618290901184,2.330214023590088,-35998.730079927045,2,24,2018-09,126.44012202803296,38.530988324096576
506,19.911111111111097,0.8764327764511108,7.9985127449035645,-31955.432535250908,2,25,2018-09,127.51810036897638,35.153322855807176
177,21.112000000000023,0.6898089051246643,1.4144134521484375,-40814.92408825338,2,26,2018-09,126.83987232946615,38.46810625420821
588,17.138000000000034,0.8428059220314026,6.488196849822998,-27549.36847574452,2,27,2018-09,127.82352756557702,36.051638139926695
610,18.026521739130487,0.8497072458267212,6.239954948425293,-18290.186052440262,2,28,2018-09,128.49726402866665,37.25987219706745
476,20.849199999999996,0.7189553380012512,4.064202785491943,-77353.8234862542,2,29,2018-09,126.22452635984428,39.50566040736626
168,22.63480000000004,0.5486528277397156,1.9237463474273682,-161742.5726907258,2,30,2018-09,126.05833803228217,39.08794380025068
57,25.89956521739134,0.3593253195285797,1.8459668159484863,-117997.68113206566,2,31,2018-09,125.90113285756124,38.93523020195036
714,19.330869565217426,0.8514150977134705,2.271392822265625,-24716.14221356955,2,32,2018-09,126.32783261751801,39.146334293718446
249,23.075000000000045,0.767454981803894,2.115278959274292,60092.18392071425,0,33,2018-09,126.31884946467682,38.46810625420821
869,15.86047619047622,0.7734885215759277,6.881361961364746,-110800.22412134173,2,34,2018-09,128.7937080724261,37.15207436297311
81,22.07000000000005,0.6461232900619507,10.940520286560059,-23872.285903566604,2,35,2018-09,128.15590422070125,35.1173902444424
10,21.856400000000008,0.2763499915599823,4.9053053855896,-358063.9720341735,2,36,2018-09,127.52259194539698,39.06997749456829
294,19.130000000000052,0.8847262263298035,5.374586582183838,-9912.194367444505,2,37,2018-09,128.70387654401415,37.920133930895304
350,23.95240000000007,0.7378475069999695,2.290619373321533,-33190.503968717036,2,38,2018-09,126.41317256950937,39.308031044859966
648,16.75444444444446,0.7730496525764465,4.371016502380371,-109365.47044321155,2,39,2018-09,127.98073274029794,38.782516603650045
66,24.28555555555556,0.4814143180847168,2.5329084396362305,-118044.78712116496,2,40,2018-09,126.03138857375858,39.173283752242035
348,17.916086956521724,0.6731358766555786,6.649013042449951,396.76437582492065,0,41,2018-09,128.6140450156022,37.277838502749844
9,25.01347826086959,0.509721040725708,1.5402270555496216,-62108.50923623657,2,42,2018-09,125.17798905384502,38.611836699667336
137,22.99454545454546,0.4614035189151764,2.68563175201416,-44762.35331150524,2,43,2018-09,126.70063346042761,38.813957638594225
121,23.127777777777794,0.6970711350440979,2.1808812618255615,-8738.82112143931,2,44,2018-09,125.8068097527287,38.162679057607576
15,21.46913043478264,-0.21773141622543335,3.2272799015045166,-745326.5239082695,2,45,2018-09,126.30537473541503,37.26436377348805
154,25.37700000000001,0.4915344715118408,2.116952419281006,-124171.26645916005,2,46,2018-09,126.16613586637651,38.89929759058558
174,23.438333333333333,0.5279778242111206,2.1243245601654053,-142434.16465880797,2,47,2018-09,126.7096166132688,38.760058721547054
36,23.419166666666683,0.5128286480903625,1.9908682107925415,-60779.58484371138,2,48,2018-09,125.45197521550148,39.06997749456829
498,19.179473684210564,0.8543596267700195,4.893341541290283,-25845.346093672728,2,49,2018-09,128.22776944343082,37.7314877212302
125,21.683333333333337,0.8193926215171814,3.1827762126922607,-25848.71997462346,2,50,2018-09,127.8504770241006,38.93073862552976
81,24.240434782608702,0.674445390701294,2.126661777496338,-34461.60338859816,2,51,2018-09,125.222904818051,38.34683369085207
114,22.615333333333353,0.5624633431434631,2.1770925521850586,-86297.51208940207,2,52,2018-09,126.09876222006754,38.391749455058054
94,21.821764705882345,0.820588231086731,10.37870979309082,-39340.84948371442,2,53,2018-09,128.4433651116195,34.874845117730125
19,20.523846153846193,0.6524004340171814,10.659361839294434,-130857.15705060941,2,54,2018-09,128.73980915537894,34.87933669415072
1177,15.607500000000016,0.6185010075569153,5.137077331542969,-287620.3007427605,2,55,2018-09,128.582603980658,37.84826870816574
