Elevation,LST,NDVI,Rain,VCI,label,idx,period,longitude,latitude
3,22.26111111111112,0.1787564754486084,5.062247276306152,0.34239062681919524,2,0,2025-05,126.40868099308877,34.88382827057132
837,18.00529411764711,0.8558624386787415,6.050673961639404,0.3515622825176954,2,1,2025-05,127.75166234284745,35.818076166055626
381,19.92833333333334,0.6725366711616516,2.7640461921691895,0.6687922765060237,0,2,2025-05,128.20531156132782,37.29131323201164
30,29.759473684210548,0.18079479038715363,3.5963845252990723,0.6242835446173037,0,3,2025-05,128.53319664003143,35.84053404815861
16,29.630000000000052,0.14001022279262543,10.198707580566406,0.9026162815612034,0,4,2025-05,130.45559134804722,33.54983007365383
41,22.849047619047667,0.6721150279045105,4.49262809753418,1.0028104114362668,0,5,2025-05,128.1963284084866,35.58900576860515
13,23.964000000000055,0.3667214810848236,2.1746044158935547,0.40627489716398524,1,6,2025-05,128.8431154130527,37.82131924964216
76,22.860000000000014,0.6127001047134399,11.050153732299805,1.0083011574032008,0,7,2025-05,130.02889158809043,33.12313031369706
4,21.922631578947403,0.1345430463552475,2.091799259185791,4.185596331268532,0,8,2025-05,128.97786270567062,37.7314877212302
33,21.674210526315846,0.5631487965583801,4.771824359893799,1.1147633679214242,0,9,2025-05,127.22614790163753,36.44240528851869
149,21.05250000000001,0.5745341777801514,4.91774845123291,1.6978056410486357,0,10,2025-05,128.35353358320754,36.662492533127974
373,20.644666666666694,0.45692557096481323,3.576282024383545,1.5179526523246383,0,11,2025-05,128.1963284084866,37.1790238214967
576,20.231111111111147,0.8779855966567993,6.54342794418335,1.1567496874271095,0,12,2025-05,127.34292888857307,35.06349132739523
309,20.221250000000055,0.6527590751647949,2.381936550140381,1.631537845910437,0,13,2025-05,128.14242949143946,37.61919831071526
310,21.58000000000004,0.8823529481887817,3.3761799335479736,0.9515553647902439,0,14,2025-05,127.20818159595514,36.63105149818379
424,19.74444444444447,0.8318380117416382,2.30425763130188,0.8390336048087828,0,15,2025-05,128.11548003291585,37.7314877212302
45,23.26866666666666,0.41132408380508423,5.300899028778076,0.8209148636820986,0,16,2025-05,126.20206847774128,33.29830179410037
172,21.702222222222247,0.8412524461746216,5.472580432891846,0.26059603036856105,2,17,2025-05,128.37599146531053,35.41383428820184
309,19.981111111111147,0.5013089179992676,3.582608222961426,-5.53156644875729,2,18,2025-05,129.38210458352438,36.83317243711068
167,20.32444444444451,0.7381526231765747,2.836961030960083,0.26186147648903063,2,19,2025-05,125.45646679192208,38.221069551075345
427,20.045999999999992,0.8584905862808228,4.735703468322754,-0.40412750537589054,2,20,2025-05,128.69938496759355,35.75070251974666
1,22.988,0.5898566842079163,4.32601261138916,1.0203252890126018,0,21,2025-05,126.76800710673658,36.03367183424431
394,19.299411764705894,0.8245181441307068,2.6429264545440674,0.39735288880875547,2,22,2025-05,127.69327184937968,37.59674042861228
124,22.150000000000034,0.765693724155426,2.9349048137664795,0.7430668433370493,0,23,2025-05,125.55977304959582,37.99199915362487
90,22.18625000000003,0.5575020909309387,4.198822975158691,0.924301672539711,0,24,2025-05,126.75453237747479,36.154944397600445
233,22.880000000000052,0.6687928438186646,8.859240531921387,0.6667710830460423,0,25,2025-05,126.74554922463359,33.37915016967112
446,20.401578947368478,0.806046187877655,4.873929023742676,0.8119809702760511,0,26,2025-05,128.1963284084866,35.72824463764367
67,20.611111111111143,0.37430039048194885,2.445859670639038,-0.3741361662614559,2,27,2025-05,127.52259194539698,37.81233609680096
81,24.391818181818223,0.5037962198257446,2.9046804904937744,0.8968660587913448,0,28,2025-05,125.77087714136391,38.09081383487801
304,18.305000000000007,0.8010604381561279,2.284770965576172,0.18739319825795947,2,29,2025-05,128.0436148101863,37.96504969510128
125,22.05125000000004,0.8431901931762695,6.504017353057861,0.6302528147219932,0,30,2025-05,128.00319062240092,35.1128986680218
237,21.591333333333353,0.7465773224830627,5.886962413787842,-0.18559882327769467,2,31,2025-05,127.01055223344885,34.99162610466566
1111,17.380000000000052,0.6577401757240295,2.519357204437256,0.024847225088777285,2,32,2025-05,127.78759495421224,38.176153786869364
155,21.694545454545448,0.8524237275123596,2.140380382537842,0.7382379922244292,0,33,2025-05,127.98971589313913,38.80946606217363
280,20.935000000000002,0.8354285955429077,2.930290699005127,0.9589245115671884,0,34,2025-05,125.29477004078056,38.4860725598906
19,21.345294117647086,0.6197947859764099,6.178873538970947,-0.09531144919668277,2,35,2025-05,127.40581095846144,34.69069048448562
3,21.403750000000002,0.07956058531999588,4.208037376403809,0.07183769978434655,2,36,2025-05,126.32783261751801,35.234171231377935
6,22.1384210526316,0.0647977963089943,3.6141281127929688,-0.4313192149470458,2,37,2025-05,125.38010999277192,39.195741634345026
107,23.133157894736883,0.3560859262943268,5.136061668395996,0.6130015750345948,0,38,2025-05,127.25758893658173,36.27621696095658
260,22.568947368421107,0.665916383266449,5.319719314575195,-8.966693148003529,2,39,2025-05,129.29676463153302,35.80460143679383
65,23.352857142857147,0.7187650799751282,3.511476516723633,0.7485316622621501,0,40,2025-05,126.59732720275387,36.617576768922
