Elevation,LST,NDVI,Rain,VCI,label,idx,period,longitude,latitude
3,19.51347826086959,0.1362781971693039,2.8816916942596436,-0.33790930125875984,2,0,2023-04,126.40868099308877,34.88382827057132
837,17.132000000000062,0.4623376727104187,1.9661248922348022,0.44892815429733945,1,1,2023-04,127.75166234284745,35.818076166055626
381,17.760000000000048,0.34727901220321655,1.5350558757781982,0.12342112567896803,2,2,2023-04,128.20531156132782,37.29131323201164
30,26.396666666666704,0.14293262362480164,1.7645124197006226,0.09814032485727532,2,3,2023-04,128.53319664003143,35.84053404815861
16,28.23476190476191,0.14458464086055756,8.512789726257324,-0.06101668524995527,2,4,2023-04,130.45559134804722,33.54983007365383
41,21.145555555555575,0.4769085645675659,2.262172222137451,0.695161294365709,0,5,2023-04,128.1963284084866,35.58900576860515
13,21.096666666666692,0.24117568135261536,1.68821382522583,0.06007845740020979,2,6,2023-04,128.8431154130527,37.82131924964216
76,20.28000000000003,0.6369327306747437,9.804558753967285,1.6426791610094231,0,7,2023-04,130.02889158809043,33.12313031369706
4,19.30666666666673,0.04205206409096718,1.4925928115844727,-0.33684350651713824,2,8,2023-04,128.97786270567062,37.7314877212302
33,20.387000000000057,0.30484330654144287,1.4765366315841675,0.645785164384078,0,9,2023-04,127.22614790163753,36.44240528851869
149,19.940909090909088,0.34961581230163574,1.748889684677124,0.32477447988480357,2,10,2023-04,128.35353358320754,36.662492533127974
373,17.405833333333362,0.34891393780708313,2.003133535385132,2.2409518593185465,0,11,2023-04,128.1963284084866,37.1790238214967
576,17.720476190476234,0.7422622442245483,2.9297313690185547,0.8105203005592149,0,12,2023-04,127.34292888857307,35.06349132739523
309,19.220588235294144,0.33585819602012634,1.744136929512024,1.352640186174103,0,13,2023-04,128.14242949143946,37.61919831071526
310,19.48428571428576,0.58613520860672,1.366826057434082,0.6455467345750141,0,14,2023-04,127.20818159595514,36.63105149818379
424,17.342380952381006,0.6135178804397583,1.7613484859466553,1.2206392114861484,0,15,2023-04,128.11548003291585,37.7314877212302
45,22.432500000000005,0.37729203701019287,4.792363166809082,0.4516638650403389,1,16,2023-04,126.20206847774128,33.29830179410037
172,18.92428571428576,0.8366265296936035,2.7730631828308105,1.1991998342004941,0,17,2023-04,128.37599146531053,35.41383428820184
309,18.24217391304353,0.7879868149757385,1.4243748188018799,1.328566070243001,0,18,2023-04,129.38210458352438,36.83317243711068
167,18.606190476190477,0.7150340676307678,2.4137277603149414,0.9806996020737356,0,19,2023-04,125.45646679192208,38.221069551075345
427,16.894166666666706,0.8751598000526428,1.9932403564453125,1.5251496959642175,0,20,2023-04,128.69938496759355,35.75070251974666
1,18.075000000000045,-0.046245649456977844,1.5599291324615479,-2.201923298317879,2,21,2023-04,126.76800710673658,36.03367183424431
394,17.86222222222227,0.5872703194618225,1.9507513046264648,0.8068988617556637,0,22,2023-04,127.69327184937968,37.59674042861228
124,18.319411764705876,0.5880584120750427,3.2877464294433594,0.8924501770582187,0,23,2023-04,125.55977304959582,37.99199915362487
90,19.985454545454616,0.38934361934661865,1.428277850151062,0.45874263341488364,1,24,2023-04,126.75453237747479,36.154944397600445
233,20.729000000000042,0.570711076259613,5.931694984436035,0.5563863922114737,1,25,2023-04,126.74554922463359,33.37915016967112
446,17.845454545454572,0.7166999578475952,2.222012996673584,0.808088071444159,0,26,2023-04,128.1963284084866,35.72824463764367
67,18.360434782608706,0.2853582501411438,2.317305326461792,0.4118027179611012,1,27,2023-04,127.52259194539698,37.81233609680096
81,22.804285714285754,0.3343108594417572,3.0468599796295166,1.2082699089227016,0,28,2023-04,125.77087714136391,38.09081383487801
304,15.74818181818182,0.45697522163391113,2.147718667984009,0.3692943514339779,2,29,2023-04,128.0436148101863,37.96504969510128
125,20.474545454545478,0.7920546531677246,3.250591278076172,0.8581673491806846,0,30,2023-04,128.00319062240092,35.1128986680218
237,19.412000000000035,0.7466351985931396,3.0309083461761475,1.341337248574818,0,31,2023-04,127.01055223344885,34.99162610466566
1111,15.590952380952388,0.32085806131362915,2.8928518295288086,0.8722055430711317,0,32,2023-04,127.78759495421224,38.176153786869364
155,20.142000000000053,0.3945061266422272,2.889310598373413,0.13184562210261802,2,33,2023-04,127.98971589313913,38.80946606217363
280,18.900000000000034,0.6666052937507629,2.0316028594970703,0.7591446897882931,0,34,2023-04,125.29477004078056,38.4860725598906
19,18.96428571428578,0.6009321212768555,4.068971633911133,0.6141835167868985,0,35,2023-04,127.40581095846144,34.69069048448562
3,18.560909090909092,0.12298186123371124,2.412428617477417,0.08814486139577785,2,36,2023-04,126.32783261751801,35.234171231377935
6,19.67750000000001,0.059670303016901016,2.5499768257141113,-0.9151510728881153,2,37,2023-04,125.38010999277192,39.195741634345026
107,19.49200000000002,0.25701460242271423,1.5361629724502563,0.08543756812556584,2,38,2023-04,127.25758893658173,36.27621696095658
260,19.391739130434814,0.7957521080970764,2.106734037399292,1.8755262297227087,0,39,2023-04,129.29676463153302,35.80460143679383
65,20.75736842105266,0.5263544321060181,1.5643055438995361,0.5809171075134261,1,40,2023-04,126.59732720275387,36.617576768922
372,19.798000000000002,0.5928732752799988,3.971082925796509,0.8285055899911569,0,41,2023-04,126.67368400190404,38.813957638594225
4,20.110000000000014,0.41304346919059753,1.4638186693191528,-0.4134024360599868,2,42,2023-04,126.68715873116582,35.74621094332606
169,23.998000000000047,0.3202974498271942,3.2369937896728516,0.8082194598662038,0,43,2023-04,126.31435788825623,38.6747187695557
307,17.639230769230835,0.7124336957931519,1.9407613277435303,1.1180493366330069,0,44,2023-04,129.05421950482076,36.50079578198646
412,19.738888888888937,0.31648099422454834,3.7170050144195557,1.341420384634873,0,45,2023-04,126.68266715474523,39.16879217582144
285,17.654000000000053,0.5325301289558411,1.8293944597244263,0.6206419744621657,0,46,2023-04,127.20818159595514,37.444026830311955
590,17.970909090909117,0.46574845910072327,1.9334607124328613,0.7962230958409482,0,47,2023-04,127.6708139672767,35.97528134077654
105,18.705555555555577,0.7973319888114929,9.149950981140137,1.8524743969495991,0,48,2023-04,129.87168641336953,33.21745341852961
259,21.71900000000005,0.20330236852169037,3.4656012058258057,1.144908286133462,0,49,2023-04,126.69165030758641,38.69268507523809
14,21.971250000000055,0.13934960961341858,1.9990668296813965,1.0721267201380607,0,50,2023-04,125.26332900583638,38.71514295734108
145,19.948333333333323,0.4469055235385895,1.63101065158844,0.7155287934093677,0,51,2023-04,127.53606667465877,36.27172538453598
19,19.781000000000006,0.2523632049560547,1.59505033493042,0.33699535448771784,2,52,2023-04,126.45359675729475,36.87808820131666
180,22.000000000000057,0.3725602626800537,1.597785234451294,0.24302090437844015,2,53,2023-04,128.5960787099198,36.801731402166496
1094,15.920000000000016,0.3987041115760803,1.2791616916656494,0.7602858566557277,0,54,2023-04,128.87006487157626,37.05775125814056
563,15.469090909090937,0.44489794969558716,1.5187149047851562,0.3193498290674291,2,55,2023-04,127.22165632521694,36.36604848936853
262,19.81888888888892,0.34497636556625366,2.0659255981445312,0.331087623208961,2,56,2023-04,127.83251071841822,37.45300998315315
430,18.74818181818182,0.5945315361022949,2.4779791831970215,0.7407775128670959,0,57,2023-04,127.91335909398897,35.57553103934335
37,16.200000000000045,0.722176194190979,6.027707576751709,1.3205285039712051,0,58,2023-04,129.21591625596227,34.11576870264913
44,21.622500000000002,0.4371010959148407,2.1578662395477295,0.9011930510827774,0,59,2023-04,129.19794995027988,35.795618283952635
190,20.417500000000018,0.6503562927246094,3.5143518447875977,0.4831507587865836,1,60,2023-04,127.70225500222088,35.13086497370419
135,21.466666666666697,0.27881041169166565,2.3677566051483154,1.1441583477433537,0,61,2023-04,125.54180674391344,38.26598531528132
96,20.44529411764711,0.3093299865722656,2.1007533073425293,0.47099638167029684,1,62,2023-04,127.03301011555185,37.974032847942475
80,22.258000000000038,0.17684045433998108,1.2371975183486938,-2.5626027492730086,2,63,2023-04,126.79495656526016,36.4244389828363
66,22.399000000000058,0.40318000316619873,1.6149942874908447,0.9219424312307137,0,64,2023-04,127.25758893658173,36.65350938028678
344,19.04636363636365,0.6949478983879089,1.7333449125289917,1.011436897117478,0,65,2023-04,128.17836210280424,37.111650175187734
387,20.35210526315791,0.19754120707511902,4.203005313873291,1.0986789680189821,0,66,2023-04,127.05546799765483,39.375404691168924
9,23.03857142857146,0.30971458554267883,1.5114625692367554,0.6360478162113246,0,67,2023-04,126.83538075304554,35.71926148480247
102,22.43105263157895,0.5254748463630676,2.0256896018981934,0.8876213422031686,0,68,2023-04,127.47318460477041,37.31377111411462
13,20.161428571428644,0.204279363155365,2.9801807403564453,0.22305300386633145,2,69,2023-04,126.42215572235057,34.681707331644425
542,15.966842105263197,0.4106582999229431,3.5400500297546387,0.35790113492586056,2,70,2023-04,126.44461360445355,39.2451489749716
120,22.611904761904782,0.2622404396533966,2.1441609859466553,0.6442594683925704,0,71,2023-04,127.00606065702826,37.803352943959766
285,23.22052631578947,0.18077869713306427,3.2114033699035645,0.7739677176965273,0,72,2023-04,126.350290499621,39.029553306782915
914,17.21700000000004,0.6596485376358032,1.4676809310913086,6.523131867879247,0,73,2023-04,129.0048121641942,37.39461948968538
69,20.07666666666671,0.7901861071586609,2.012815475463867,3.383364678620779,0,74,2023-04,129.47642768835695,35.92587400014997
44,21.650000000000034,0.24533715844154358,2.935194492340088,-0.06078732102640188,2,75,2023-04,127.8729349062036,38.89031443774439
125,23.612352941176482,0.32812047004699707,2.694073438644409,0.29715447407807455,2,76,2023-04,126.85334705872793,38.27047689170192
630,17.36500000000001,0.4652956426143646,2.0323824882507324,0.5819348167840462,1,77,2023-04,127.97174958745674,37.19249855075849
209,20.536,0.1823662370443344,2.7223079204559326,1.4742018991123544,0,78,2023-04,127.20369001953455,38.274968468122516
80,22.0971428571429,0.12443233281373978,2.582702159881592,1.6909199580935494,0,79,2023-04,125.37112683993072,37.95606654226008
314,16.57181818181823,0.6050305962562561,2.867063045501709,0.6018470811784624,0,80,2023-04,127.61242347380893,37.59674042861228
133,19.687777777777796,0.35995593667030334,1.6004972457885742,0.6196698373598195,0,81,2023-04,127.38784465277905,37.47546786525614
119,20.3026315789474,0.2069648951292038,4.702110290527344,-0.5361382008858784,2,82,2023-04,127.25758893658173,39.27659000991578
96,22.458888888888907,0.6136578917503357,9.1253662109375,0.927684901653315,0,83,2023-04,130.6891533219183,33.114147160855865
215,18.12272727272733,0.6307334303855896,1.9547771215438843,0.8489798307872711,0,84,2023-04,128.7622670374819,36.078587598450284
254,17.529047619047674,-0.044510386884212494,3.3264424800872803,0.33891718190179265,2,85,2023-04,127.78310337779163,38.42768206642283
248,18.252500000000055,0.712080180644989,1.5899547338485718,1.1711854637840449,0,86,2023-04,128.91947221220283,36.67596726238977
92,22.1357142857143,0.29146406054496765,1.8729336261749268,0.8562939883933591,0,87,2023-04,127.31148785362889,37.030801799616974
64,19.832608695652198,0.6609092950820923,6.151390075683594,2.459815361593182,0,88,2023-04,129.7189728150692,33.819324658889684
15,24.115555555555602,0.21906644105911255,1.943113088607788,0.642196043632074,0,89,2023-04,126.97911119850467,37.08919229308474
1067,16.56684210526322,0.6177763938903809,1.3175108432769775,5.514225958181503,0,90,2023-04,128.9464216707264,37.14758278655251
416,16.99285714285719,0.618992269039154,1.8892937898635864,0.497903850509466,1,91,2023-04,128.259210478375,37.70902983912722
