Elevation,LST,NDVI,Rain,VCI,label,idx,period,longitude,latitude
381,27.39571428571429,0.5346587896347046,6.150997161865234,-130740.46776923742,2,0,2019-07,128.20531156132782,37.29131323201164
41,27.982000000000028,0.6300642490386963,6.673494815826416,34522.846162102665,0,1,2019-07,128.1963284084866,35.58900576860515
13,27.41500000000002,0.7318035960197449,9.041706085205078,-48891.359277928095,2,2,2019-07,128.8431154130527,37.82131924964216
4,28.670000000000016,0.050912778824567795,7.472309112548828,-127488.49756456535,2,3,2019-07,128.97786270567062,37.7314877212302
33,27.92375000000004,0.3483074903488159,8.200282096862793,-252253.7635497299,2,4,2019-07,127.22614790163753,36.44240528851869
149,27.944545454545448,0.6820557713508606,7.465385913848877,-75776.18198527691,2,5,2019-07,128.35353358320754,36.662492533127974
373,29.09857142857146,0.3852255940437317,6.354020118713379,10609.138437468746,0,6,2019-07,128.1963284084866,37.1790238214967
309,28.22428571428577,0.43664443492889404,8.478798866271973,-191967.84324753116,2,7,2019-07,128.14242949143946,37.61919831071526
310,26.59200000000004,0.8466706275939941,7.221226215362549,-49104.75929554592,2,8,2019-07,127.20818159595514,36.63105149818379
424,27.873333333333335,-0.013226666487753391,11.110247611999512,-651598.7303034465,2,9,2019-07,128.11548003291585,37.7314877212302
1,28.057272727272732,0.3337148427963257,5.948622226715088,-270175.1114586506,2,10,2019-07,126.76800710673658,36.03367183424431
90,28.890000000000043,0.2623068392276764,6.734335899353027,-452262.550151324,2,11,2019-07,126.75453237747479,36.154944397600445
446,26.304285714285754,0.2649572789669037,6.837887287139893,-604179.2473222456,2,12,2019-07,128.1963284084866,35.72824463764367
280,28.41615384615386,0.4103790819644928,4.243443489074707,-457674.5801082551,2,13,2019-07,125.29477004078056,38.4860725598906
3,28.21285714285716,0.16053858399391174,8.66576862335205,-20369.160142912875,2,14,2019-07,126.32783261751801,35.234171231377935
6,29.10888888888894,0.5873606204986572,5.847892761230469,-220030.21426360405,2,15,2019-07,125.38010999277192,39.195741634345026
107,28.995454545454606,0.4240759313106537,9.867729187011719,47245.70385345095,0,16,2019-07,127.25758893658173,36.27621696095658
65,28.422000000000025,0.7078085541725159,8.05953311920166,-186698.009445325,2,17,2019-07,126.59732720275387,36.617576768922
4,27.016250000000014,0.395660936832428,7.581832408905029,-377088.974850526,2,18,2019-07,126.68715873116582,35.74621094332606
14,33.05181818181825,0.31737831234931946,3.396145820617676,-241381.6302244774,2,19,2019-07,125.26332900583638,38.71514295734108
145,29.310000000000002,0.3393765985965729,10.36903190612793,-317381.65847521095,2,20,2019-07,127.53606667465877,36.27172538453598
19,28.728181818181838,0.48685216903686523,7.276198387145996,-337275.31249589514,2,21,2019-07,126.45359675729475,36.87808820131666
180,30.786,0.6245031356811523,6.606556415557861,-44557.61027887995,2,22,2019-07,128.5960787099198,36.801731402166496
1094,22.950000000000045,0.9084391593933105,5.469113826751709,-14015.687400631416,2,23,2019-07,128.87006487157626,37.05775125814056
563,25.99000000000001,0.7583516836166382,8.089788436889648,-148996.54524591978,2,24,2019-07,127.22165632521694,36.36604848936853
430,25.440000000000055,0.7986068725585938,9.080046653747559,-39709.155452902654,2,25,2019-07,127.91335909398897,35.57553103934335
80,30.170000000000016,0.4816513657569885,6.899970054626465,-141831.44722509824,2,26,2019-07,126.79495656526016,36.4244389828363
66,29.586000000000013,0.5782918334007263,6.167874813079834,-40600.675917180866,2,27,2019-07,127.25758893658173,36.65350938028678
344,28.372857142857185,0.27642711997032166,6.08229923248291,-594488.7574364309,2,28,2019-07,128.17836210280424,37.111650175187734
9,29.6516666666667,0.5981724262237549,8.653387069702148,-153544.97069075258,2,29,2019-07,126.83538075304554,35.71926148480247
914,23.295714285714325,0.8173531889915466,7.824592113494873,-1.4903609104448452,2,30,2019-07,129.0048121641942,37.39461948968538
630,25.83000000000004,0.8131893873214722,6.328733921051025,-81943.50712289833,2,31,2019-07,127.97174958745674,37.19249855075849
80,31.761666666666713,0.26224783062934875,5.55855655670166,14717.795491562103,0,32,2019-07,125.37112683993072,37.95606654226008
92,31.178888888888935,0.502015233039856,6.711712837219238,17366.372612736657,0,33,2019-07,127.31148785362889,37.030801799616974
416,26.04333333333335,0.762029230594635,10.945213317871094,-103323.83954644109,2,34,2019-07,128.259210478375,37.70902983912722
152,29.250000000000057,0.6491391062736511,6.904780864715576,-196008.71364811846,2,35,2019-07,127.28004681868471,37.026310223196376
197,29.643333333333374,0.5859213471412659,7.597657203674316,-74466.7870164164,2,36,2019-07,127.80106968347403,36.16392755044164
588,24.805000000000007,0.8140451312065125,8.953704833984375,-49913.27326001338,2,37,2019-07,127.82352756557702,36.051638139926695
71,28.894444444444503,0.7776041626930237,7.298548221588135,-57441.1710103353,2,38,2019-07,128.36251673604872,36.38850637147152
610,25.278333333333364,0.8103765249252319,7.384823799133301,-46116.090078200614,2,39,2019-07,128.49726402866665,37.25987219706745
100,29.075000000000045,0.46572521328926086,6.242278099060059,-80231.57714920626,2,40,2019-07,127.35191204141427,36.77927352006351
38,36.9666666666667,0.45387935638427734,7.0781331062316895,-99255.61107672681,2,41,2019-07,126.84436390588674,35.19823862001315
83,27.296250000000043,0.7231726050376892,5.851946830749512,-97653.42531456368,2,42,2019-07,126.64673454338045,36.13697809191805
102,27.808750000000032,0.6928555369377136,8.088836669921875,-51089.09184540567,2,43,2019-07,128.38946619457232,36.51876208766885
159,27.715000000000032,0.7695877552032471,7.298548221588135,-109070.76350854395,2,44,2019-07,128.35353358320754,36.36155691294793
75,31.190000000000055,0.5460804104804993,7.402655124664307,-12529.929240703508,2,45,2019-07,128.1963284084866,36.4199474064157
38,29.466363636363667,0.6242451071739197,9.205305099487305,-61289.46112669232,2,46,2019-07,127.17674056101096,36.30316641948016
414,26.832222222222242,0.805638313293457,6.6162238121032715,-64953.31821708317,2,47,2019-07,127.89988436472717,36.154944397600445
271,29.797500000000014,0.6395458579063416,7.576573848724365,-73343.72714204164,2,48,2019-07,127.98522431671853,36.770290367222316
40,26.29222222222228,0.7780045866966248,7.933581352233887,111672.9441818214,0,49,2019-07,126.350290499621,34.43017905209096
869,24.012500000000045,0.8496431112289429,7.1786394119262695,-33924.944631904655,2,50,2019-07,128.7937080724261,37.15207436297311
578,26.264285714285734,0.3578856289386749,10.098576545715332,-513733.2516691714,2,51,2019-07,127.95378328177435,37.84377713174514
176,26.439090909090964,0.8012863397598267,6.966570854187012,-28247.379918245442,2,52,2019-07,127.2755552422641,36.851138742793076
294,25.867500000000007,0.8840887546539307,10.470226287841797,-3309.3011525580087,2,53,2019-07,128.70387654401415,37.920133930895304
21,28.261666666666713,0.7884668111801147,6.839584827423096,-29195.385263995013,2,54,2019-07,126.69614188400702,35.849517200999806
244,27.83571428571429,0.7464466094970703,10.876066207885742,29957.09028882421,0,55,2019-07,126.93868701071929,37.893184472371715
152,28.728333333333353,0.4163483679294586,10.36903190612793,-307431.4996338328,2,56,2019-07,127.52259194539698,36.29418326663897
