Elevation,LST,NDVI,Rain,VCI,label,idx,period,longitude,latitude
3,18.57400000000007,0.24893377721309662,3.9143712520599365,46737.55674316693,0,0,2018-10,126.40868099308877,34.88382827057132
837,13.498461538461527,0.6347402334213257,4.144021511077881,145759.25121059665,0,1,2018-10,127.75166234284745,35.818076166055626
381,13.504482758620725,0.48220571875572205,2.7090866565704346,50396.88050863473,0,2,2018-10,128.20531156132782,37.29131323201164
41,17.48032258064518,0.5695099830627441,3.9022090435028076,127080.94594915632,0,3,2018-10,128.1963284084866,35.58900576860515
13,18.31064516129038,0.3154744803905487,5.424769878387451,-39487.34814062793,2,4,2018-10,128.8431154130527,37.82131924964216
4,17.587142857142908,0.08135883510112762,5.688132286071777,-91484.01003665935,2,5,2018-10,128.97786270567062,37.7314877212302
149,15.687857142857183,0.5085493922233582,2.8914265632629395,223019.99061592892,0,6,2018-10,128.35353358320754,36.662492533127974
373,14.26461538461541,0.3322346806526184,2.7679760456085205,14110.021789213833,0,7,2018-10,128.1963284084866,37.1790238214967
309,15.254800000000046,0.4800901710987091,3.1545064449310303,103252.5763800053,0,8,2018-10,128.14242949143946,37.61919831071526
424,12.751600000000053,0.625893235206604,3.566227436065674,99286.91111577059,0,9,2018-10,128.11548003291585,37.7314877212302
45,21.725000000000023,0.6099529266357422,3.6307461261749268,-107524.09824847209,2,10,2018-10,126.20206847774128,33.29830179410037
167,17.201034482758644,0.7476635575294495,1.5752246379852295,47291.809153333976,0,11,2018-10,125.45646679192208,38.221069551075345
394,13.859629629629637,0.5983906388282776,2.936992645263672,-15727.8800150209,2,12,2018-10,127.69327184937968,37.59674042861228
124,17.852758620689656,0.5003166794776917,1.3856474161148071,17567.700623257966,0,13,2018-10,125.55977304959582,37.99199915362487
233,20.296315789473738,0.4956114590167999,5.692843437194824,-88426.43127586498,2,14,2018-10,126.74554922463359,33.37915016967112
446,15.610666666666702,0.823172926902771,4.243967533111572,208401.00296465892,0,15,2018-10,128.1963284084866,35.72824463764367
67,14.550833333333344,0.5110593438148499,2.6785054206848145,41950.044761020494,0,16,2018-10,127.52259194539698,37.81233609680096
81,18.36913043478262,0.36490166187286377,1.7538508176803589,50165.119059327524,0,17,2018-10,125.77087714136391,38.09081383487801
304,12.262413793103462,0.6611694097518921,3.0826988220214844,37998.443421931486,0,18,2018-10,128.0436148101863,37.96504969510128
125,17.97266666666667,0.8589164614677429,5.100124835968018,846.87988053056,0,19,2018-10,128.00319062240092,35.1128986680218
1111,11.082173913043505,0.4258645176887512,3.633714199066162,50323.3984176269,0,20,2018-10,127.78759495421224,38.176153786869364
155,16.48629629629636,0.5877569317817688,4.527225971221924,66031.67524320852,0,21,2018-10,127.98971589313913,38.80946606217363
