Elevation,LST,NDVI,Rain,VCI,label,idx,period,longitude,latitude
3,14.325652173913056,0.21635884046554565,0.5987259745597839,0.9133875853278938,0,0,2022-11,126.40868099308877,34.88382827057132
837,11.034210526315803,0.4764776825904846,0.8802822232246399,0.6896544845143966,0,1,2022-11,127.75166234284745,35.818076166055626
381,8.956000000000017,0.3350622355937958,0.839133083820343,0.03908065554656534,2,2,2022-11,128.20531156132782,37.29131323201164
30,14.732500000000016,0.10519735515117645,0.7284174561500549,-0.09021474546744,2,3,2022-11,128.53319664003143,35.84053404815861
16,22.76142857142861,0.12521323561668396,1.0967289209365845,-1.0139331306320691,2,4,2022-11,130.45559134804722,33.54983007365383
41,12.19482758620694,0.43541744351387024,0.6429259777069092,0.41058584137120924,1,5,2022-11,128.1963284084866,35.58900576860515
13,11.041724137931055,0.26154327392578125,0.9944126009941101,0.25022230389799777,2,6,2022-11,128.8431154130527,37.82131924964216
76,16.650000000000034,0.575507640838623,0.9415764808654785,1.851550968171039,0,7,2022-11,130.02889158809043,33.12313031369706
4,11.123571428571438,0.06272129714488983,1.205990195274353,-0.1502177178064217,2,8,2022-11,128.97786270567062,37.7314877212302
33,10.446521739130446,0.26848453283309937,1.1095218658447266,-0.30529541554909095,2,9,2022-11,127.22614790163753,36.44240528851869
149,10.612500000000011,0.3222111463546753,0.7687358856201172,0.670125980967034,0,10,2022-11,128.35353358320754,36.662492533127974
373,8.202000000000055,0.3244739770889282,0.9110559225082397,0.9609820479305634,0,11,2022-11,128.1963284084866,37.1790238214967
576,11.616363636363644,0.7705895900726318,0.791294515132904,0.8667588858346037,0,12,2022-11,127.34292888857307,35.06349132739523
309,9.758235294117696,0.2853333353996277,0.8435534238815308,0.5407686829345665,1,13,2022-11,128.14242949143946,37.61919831071526
310,9.96473684210531,0.3780241906642914,1.149885892868042,-0.30006257543856174,2,14,2022-11,127.20818159595514,36.63105149818379
424,7.216666666666697,0.630234956741333,0.8863228559494019,0.8574821150163815,0,15,2022-11,128.11548003291585,37.7314877212302
45,19.365294117647068,0.4587220251560211,1.0666576623916626,-0.1840643866615894,2,16,2022-11,126.20206847774128,33.29830179410037
172,11.850000000000023,0.6513761281967163,0.7388591170310974,0.5572448590784168,1,17,2022-11,128.37599146531053,35.41383428820184
309,13.047599999999989,0.6739044785499573,1.3539116382598877,0.35629374102369327,2,18,2022-11,129.38210458352438,36.83317243711068
167,8.368095238095236,0.6433789730072021,1.8754072189331055,0.8451643063741876,0,19,2022-11,125.45646679192208,38.221069551075345
427,11.025000000000034,0.4747907221317291,0.8306848406791687,0.4411006531301115,1,20,2022-11,128.69938496759355,35.75070251974666
1,11.51933333333335,0.1678263247013092,1.1212352514266968,0.20089291781262605,2,21,2022-11,126.76800710673658,36.03367183424431
394,7.611052631578957,0.4995230436325073,1.144242525100708,0.5165841050241783,1,22,2022-11,127.69327184937968,37.59674042861228
124,8.410000000000025,0.49001815915107727,1.5032788515090942,1.0870801286303151,0,23,2022-11,125.55977304959582,37.99199915362487
90,12.23555555555555,0.35021889209747314,1.2649558782577515,-0.281932483779025,2,24,2022-11,126.75453237747479,36.154944397600445
233,16.59777777777782,0.5365853905677795,0.9964677095413208,0.22331298472691338,2,25,2022-11,126.74554922463359,33.37915016967112
446,10.842307692307713,0.6781045794487,0.7325859069824219,0.33284943507880344,2,26,2022-11,128.1963284084866,35.72824463764367
67,8.483333333333348,0.29693570733070374,1.2922121286392212,0.2538225809159448,2,27,2022-11,127.52259194539698,37.81233609680096
81,8.842380952381006,0.30934301018714905,2.0995144844055176,0.831180361226306,0,28,2022-11,125.77087714136391,38.09081383487801
304,7.471904761904796,0.46904441714286804,0.9174610376358032,-2.691356585004442,2,29,2022-11,128.0436148101863,37.96504969510128
125,12.47240000000005,0.7899731993675232,0.82014000415802,0.6472594346720343,0,30,2022-11,128.00319062240092,35.1128986680218
237,12.762173913043512,0.7273938655853271,0.6603437066078186,0.869865413909391,0,31,2022-11,127.01055223344885,34.99162610466566
1111,4.523636363636399,0.3124042749404907,1.4818682670593262,0.6736830868726843,0,32,2022-11,127.78759495421224,38.176153786869364
155,9.819166666666717,0.4082668721675873,1.760189414024353,0.497892187726359,1,33,2022-11,127.98971589313913,38.80946606217363
280,9.194210526315828,0.5017825365066528,2.0412228107452393,0.637610988653205,0,34,2022-11,125.29477004078056,38.4860725598906
19,13.003600000000063,0.5770054459571838,0.6770681142807007,0.5961328333172069,1,35,2022-11,127.40581095846144,34.69069048448562
3,14.095600000000047,0.11679680645465851,0.9087942838668823,0.12989785332774392,2,36,2022-11,126.32783261751801,35.234171231377935
6,6.726666666666688,0.18021680414676666,1.858250617980957,0.46843353118024067,1,37,2022-11,125.38010999277192,39.195741634345026
107,11.858750000000043,0.26869502663612366,1.1599148511886597,0.3388812399567231,2,38,2022-11,127.25758893658173,36.27621696095658
260,12.561538461538532,0.7470967769622803,1.071189522743225,0.7818938515402101,0,39,2022-11,129.29676463153302,35.80460143679383
65,11.3344444444445,0.4936795234680176,1.1638787984848022,-1.404057255531811,2,40,2022-11,126.59732720275387,36.617576768922
372,6.5109523809524035,0.6041067838668823,2.2370731830596924,0.693908746770358,0,41,2022-11,126.67368400190404,38.813957638594225
4,13.694705882352991,0.2251867651939392,1.0906819105148315,0.16372449728972627,2,42,2022-11,126.68715873116582,35.74621094332606
169,7.984285714285761,0.3022572994232178,2.2754409313201904,0.8943160702077515,0,43,2022-11,126.31435788825623,38.6747187695557
307,10.866800000000012,0.5174182653427124,1.2416512966156006,0.25838449279635867,2,44,2022-11,129.05421950482076,36.50079578198646
412,3.9490909090909554,0.38617727160453796,2.041395664215088,0.6325397226682856,0,45,2022-11,126.68266715474523,39.16879217582144
285,10.953000000000031,0.34516972303390503,1.4676190614700317,-0.585167391679655,2,46,2022-11,127.20818159595514,37.444026830311955
590,9.939166666666722,0.306153267621994,1.0656484365463257,-0.71764368873695,2,47,2022-11,127.6708139672767,35.97528134077654
105,16.83777777777783,0.7870628237724304,1.0575978755950928,0.7169290573797793,0,48,2022-11,129.87168641336953,33.21745341852961
259,7.083333333333371,0.20041681826114655,2.084743022918701,0.7075052647866,0,49,2022-11,126.69165030758641,38.69268507523809
14,8.580666666666673,0.19786453247070312,1.8932905197143555,0.5909448350508865,1,50,2022-11,125.26332900583638,38.71514295734108
145,12.36099999999999,0.41049912571907043,1.1759377717971802,-0.2155699512275675,2,51,2022-11,127.53606667465877,36.27172538453598
19,11.885652173913059,0.25479546189308167,1.4091142416000366,0.4762003268061245,1,52,2022-11,126.45359675729475,36.87808820131666
